,subject_id,block_condition,reval_score,accuracy,age,categorical_age,block_order,environment,rest,second_stage_test,last_10_accuracy
0,7095,Revaluation,-0.09999999999999998,0.0,7.88,Children,1.0,canyon,Rest,0.75,0.9
1,7097,Revaluation,0.0,0.0,7.02,Children,1.0,ocean,Rest,1.0,1.0
2,7099,Revaluation,1.0,1.0,7.49,Children,1.0,canyon,Rest,0.25,1.0
3,7110,Revaluation,0.25,0.25,8.16,Children,2.0,ocean,Rest,1.0,1.0
4,7111,Revaluation,0.0,0.0,8.49,Children,2.0,ocean,Rest,0.5,1.0
5,7113,Revaluation,0.0,0.0,8.41,Children,1.0,canyon,Rest,0.625,1.0
6,7114,Revaluation,0.25,0.25,8.51,Children,2.0,canyon,Rest,0.75,1.0
7,7120,Revaluation,0.0,0.0,8.72,Children,1.0,ocean,Rest,0.375,1.0
8,7123,Revaluation,1.0,1.0,8.44,Children,2.0,canyon,Rest,0.0,1.0
9,7131,Revaluation,0.0,0.0,9.36,Children,2.0,canyon,Rest,0.5,1.0
10,7137,Revaluation,1.0,1.0,9.98,Children,1.0,ocean,Rest,0.5,1.0
11,7144,Revaluation,0.25,0.25,9.21,Children,1.0,ocean,Rest,1.0,1.0
12,7277,Revaluation,0.0,0.0,9.85,Children,1.0,ocean,Rest,0.375,1.0
13,7279,Revaluation,0.0,0.0,10.41,Children,2.0,canyon,Rest,0.5,1.0
14,7281,Revaluation,0.75,0.75,10.14,Children,2.0,ocean,Rest,0.75,1.0
15,7283,Revaluation,0.0,0.0,10.77,Children,2.0,ocean,Rest,1.0,1.0
16,7285,Revaluation,0.0,0.0,10.18,Children,2.0,canyon,Rest,0.0,1.0
17,7289,Revaluation,0.5,0.5,10.91,Children,1.0,ocean,Rest,0.5,1.0
18,7292,Revaluation,0.0,0.0,10.72,Children,2.0,canyon,Rest,0.5,1.0
19,7293,Revaluation,0.5,0.5,10.88,Children,1.0,ocean,Rest,0.25,1.0
20,7299,Revaluation,0.5,0.5,11.88,Children,2.0,canyon,Rest,0.75,1.0
21,7300,Revaluation,0.75,0.75,11.97,Children,2.0,ocean,Rest,0.625,1.0
22,7301,Revaluation,1.0,1.0,11.83,Children,2.0,canyon,Rest,1.0,1.0
23,7305,Revaluation,0.0,0.0,11.24,Children,1.0,ocean,Rest,1.0,1.0
24,7306,Revaluation,0.25,0.25,11.54,Children,1.0,canyon,Rest,1.0,1.0
25,7307,Revaluation,0.0,0.0,11.48,Children,2.0,canyon,Rest,0.5,1.0
26,7313,Revaluation,0.5,0.5,11.82,Children,1.0,canyon,Rest,1.0,1.0
27,7315,Revaluation,0.25,0.25,12.99,Children,1.0,ocean,Rest,0.25,1.0
28,7317,Revaluation,0.75,0.75,12.25,Children,2.0,canyon,Rest,0.625,1.0
29,7321,Revaluation,0.5,0.5,12.14,Children,2.0,canyon,Rest,1.0,1.0
30,7323,Revaluation,0.25,0.25,12.82,Children,1.0,ocean,Rest,1.0,1.0
31,7327,Revaluation,0.5,0.5,12.72,Children,2.0,ocean,Rest,1.0,1.0
32,7330,Revaluation,0.5,0.5,12.33,Children,2.0,canyon,Rest,0.875,1.0
33,7331,Revaluation,0.0,0.0,12.74,Children,2.0,ocean,Rest,0.5,1.0
34,7334,Revaluation,0.5,0.5,13.03,Adolescents,1.0,canyon,Rest,1.0,1.0
35,7336,Revaluation,1.0,1.0,13.09,Adolescents,2.0,ocean,Rest,0.5,1.0
36,7337,Revaluation,0.5,0.5,13.19,Adolescents,1.0,canyon,Rest,0.375,1.0
37,7341,Revaluation,0.25,0.25,13.97,Adolescents,1.0,ocean,Rest,0.5,1.0
38,7345,Revaluation,0.0,0.0,13.33,Adolescents,1.0,ocean,Rest,0.5,1.0
39,7346,Revaluation,1.0,1.0,13.35,Adolescents,2.0,ocean,Rest,1.0,1.0
40,7350,Revaluation,0.25,0.25,13.73,Adolescents,1.0,ocean,Rest,0.5,1.0
41,7354,Revaluation,0.75,0.75,14.21,Adolescents,1.0,ocean,Rest,0.375,1.0
42,7357,Revaluation,0.0,0.0,14.74,Adolescents,2.0,ocean,Rest,1.0,1.0
43,7370,Revaluation,0.5,0.5,15.54,Adolescents,1.0,ocean,Rest,1.0,1.0
44,7372,Revaluation,0.0,0.0,15.63,Adolescents,2.0,ocean,Rest,1.0,1.0
45,7383,Revaluation,0.25,0.25,15.04,Adolescents,1.0,canyon,Rest,0.375,1.0
46,7384,Revaluation,0.0,0.0,15.66,Adolescents,2.0,canyon,Rest,0.625,1.0
47,7385,Revaluation,0.0,0.0,15.56,Adolescents,1.0,canyon,Rest,1.0,1.0
48,7386,Revaluation,1.0,1.0,15.28,Adolescents,2.0,canyon,Rest,0.875,1.0
49,7388,Revaluation,0.0,0.0,16.72,Adolescents,2.0,ocean,Rest,0.75,1.0
50,7394,Revaluation,0.0,0.0,16.82,Adolescents,2.0,canyon,Rest,0.875,1.0
51,7395,Revaluation,0.0,0.0,16.62,Adolescents,2.0,canyon,Rest,0.5,1.0
52,7397,Revaluation,0.5,0.5,16.03,Adolescents,1.0,canyon,Rest,0.875,1.0
53,7404,Revaluation,0.5,0.5,16.61,Adolescents,2.0,ocean,Rest,0.75,1.0
54,7405,Revaluation,0.5,0.5,17.26,Adolescents,1.0,canyon,Rest,0.5,1.0
55,7411,Revaluation,0.0,0.0,17.43,Adolescents,1.0,canyon,Rest,0.75,1.0
56,7412,Revaluation,1.0,1.0,17.82,Adolescents,1.0,canyon,Rest,0.125,1.0
57,7414,Revaluation,0.25,0.25,17.43,Adolescents,1.0,ocean,Rest,0.5,1.0
58,7416,Revaluation,0.25,0.25,17.81,Adolescents,1.0,ocean,Rest,0.5,1.0
59,7419,Revaluation,0.0,0.0,17.68,Adolescents,1.0,canyon,Rest,0.375,1.0
60,7426,Revaluation,-0.09999999999999998,0.0,18.85,Adults,2.0,ocean,Rest,0.375,0.9
61,7431,Revaluation,0.75,0.75,18.75,Adults,1.0,ocean,Rest,0.5,1.0
62,7432,Revaluation,0.0,0.0,18.61,Adults,2.0,canyon,Rest,0.5,1.0
63,7433,Revaluation,1.0,1.0,18.53,Adults,2.0,ocean,Rest,0.625,1.0
64,7436,Revaluation,0.0,0.0,18.42,Adults,2.0,canyon,Rest,1.0,1.0
65,7442,Revaluation,0.050000000000000044,0.25,19.9,Adults,1.0,canyon,Rest,1.0,0.8
66,7444,Revaluation,0.5,0.5,19.87,Adults,1.0,ocean,Rest,0.125,1.0
67,7446,Revaluation,0.0,0.0,19.06,Adults,1.0,ocean,Rest,1.0,1.0
68,7447,Revaluation,0.0,0.0,19.31,Adults,1.0,ocean,Rest,0.5,1.0
69,7451,Revaluation,0.25,0.25,19.15,Adults,2.0,canyon,Rest,0.75,1.0
70,7456,Revaluation,0.5,0.5,19.6,Adults,1.0,canyon,Rest,1.0,1.0
71,7457,Revaluation,0.0,0.0,19.53,Adults,2.0,ocean,Rest,0.5,1.0
72,7463,Revaluation,0.25,0.25,20.84,Adults,2.0,ocean,Rest,0.875,1.0
73,7464,Revaluation,0.5,0.5,20.24,Adults,1.0,canyon,Rest,1.0,1.0
74,7472,Revaluation,0.0,0.0,20.16,Adults,1.0,ocean,Rest,0.625,1.0
75,7475,Revaluation,0.25,0.25,20.18,Adults,2.0,ocean,Rest,0.625,1.0
76,7476,Revaluation,0.0,0.0,20.63,Adults,2.0,canyon,Rest,0.5,1.0
77,7479,Revaluation,0.25,0.25,21.28,Adults,2.0,canyon,Rest,1.0,1.0
78,7480,Revaluation,0.0,0.0,21.43,Adults,1.0,ocean,Rest,0.5,1.0
79,7484,Revaluation,0.0,0.0,21.55,Adults,1.0,canyon,Rest,0.5,0.9
80,7485,Revaluation,1.0,1.0,21.53,Adults,2.0,canyon,Rest,0.5,1.0
81,7487,Revaluation,0.0,0.0,21.27,Adults,2.0,ocean,Rest,0.875,1.0
82,7494,Revaluation,0.5,0.5,21.25,Adults,2.0,ocean,Rest,1.0,1.0
83,7496,Revaluation,0.25,0.25,22.92,Adults,1.0,canyon,Rest,0.875,1.0
84,7497,Revaluation,1.0,1.0,22.17,Adults,2.0,canyon,Rest,1.0,1.0
85,7505,Revaluation,1.0,1.0,22.4,Adults,2.0,canyon,Rest,1.0,1.0
86,7513,Revaluation,0.5,0.5,23.74,Adults,2.0,canyon,Rest,1.0,1.0
87,7514,Revaluation,0.0,0.0,23.82,Adults,1.0,canyon,Rest,0.875,1.0
88,7521,Revaluation,0.25,0.25,23.7,Adults,1.0,ocean,Rest,1.0,1.0
89,7530,Revaluation,0.75,0.75,23.14,Adults,2.0,canyon,Rest,1.0,1.0
90,7535,Revaluation,1.0,1.0,14.22,Adolescents,1.0,canyon,Rest,1.0,1.0
91,7541,Revaluation,0.0,0.0,9.16,Children,2.0,canyon,Rest,0.625,1.0
92,7774,Revaluation,0.0,0.0,7.83,Children,1.0,canyon,Rest,0.0,1.0
93,7776,Revaluation,0.4,0.5,8.67,Children,2.0,ocean,Rest,0.75,0.8
94,7782,Revaluation,0.25,0.25,18.56,Adults,2.0,ocean,Rest,0.5,0.9
95,7785,Revaluation,0.0,0.0,20.13,Adults,1.0,ocean,Rest,0.5,1.0
96,7787,Revaluation,0.0,0.0,20.35,Adults,1.0,canyon,Rest,0.5,1.0
97,7792,Revaluation,0.0,0.0,22.77,Adults,2.0,canyon,Rest,0.5,1.0
98,7793,Revaluation,0.25,0.25,22.39,Adults,2.0,canyon,Rest,0.875,1.0
99,7798,Revaluation,0.5,0.5,23.66,Adults,2.0,ocean,Rest,0.5,1.0
100,7802,Revaluation,0.0,0.0,15.37,Adolescents,2.0,canyon,Rest,0.375,1.0
101,7960,Revaluation,0.0,0.0,14.25,Adolescents,2.0,ocean,Rest,0.5,1.0
102,7961,Revaluation,0.5,0.5,14.18,Adolescents,1.0,canyon,Rest,1.0,1.0
103,7962,Revaluation,0.0,0.0,14.85,Adolescents,1.0,ocean,Rest,1.0,1.0
104,7969,Revaluation,0.75,0.75,14.2,Adolescents,1.0,canyon,Rest,0.625,1.0
105,7973,Revaluation,0.5,0.5,16.89,Adolescents,2.0,canyon,Rest,1.0,1.0
106,7982,Revaluation,0.25,0.25,17.66,Adolescents,1.0,ocean,Rest,0.625,1.0
107,7987,Revaluation,1.0,1.0,21.3,Adults,2.0,canyon,Rest,0.875,1.0
108,7988,Revaluation,1.0,1.0,22.72,Adults,2.0,ocean,Rest,1.0,1.0
109,7991,Revaluation,0.5,0.5,23.54,Adults,1.0,canyon,Rest,0.5,1.0
110,7995,Revaluation,0.0,0.0,23.72,Adults,1.0,ocean,Rest,0.375,1.0
111,8091,Revaluation,1.0,1.0,16.27,Adolescents,2.0,ocean,Rest,0.75,1.0
112,8152,Revaluation,0.25,0.25,7.69,Children,2.0,canyon,Rest,0.5,1.0
113,8153,Revaluation,0.25,0.25,9.8,Children,1.0,canyon,Rest,1.0,1.0
114,8155,Revaluation,0.5,0.5,9.82,Children,2.0,ocean,Rest,0.875,1.0
115,8161,Revaluation,0.25,0.25,18.87,Adults,1.0,ocean,Rest,1.0,1.0
116,8163,Revaluation,0.75,0.75,20.41,Adults,2.0,canyon,Rest,0.625,1.0
117,9609,Revaluation,0.25,0.25,7.45,Children,1.0,canyon,Rest,0.5,1.0
118,9633,Revaluation,0.0,0.0,7.6,Children,2.0,canyon,Rest,0.0,1.0
119,7095,Control,0.0,1.0,7.88,Children,2.0,ocean,Rest,0.5,1.0
120,7097,Control,1.0,0.0,7.02,Children,2.0,canyon,Rest,0.5,1.0
121,7099,Control,0.0,1.0,7.49,Children,2.0,ocean,Rest,1.0,1.0
122,7110,Control,0.0,1.0,8.16,Children,1.0,canyon,Rest,1.0,1.0
